,SALEDATE,PRICE
107332,2014-03-12,53000.0
107333,2007-06-05,150000.0
107334,2004-02-19,60000.0
107335,2017-07-06,60000.0
107336,2011-02-07,39000.0
107337,2017-09-19,53000.0
107338,2014-04-22,37000.0
107339,1996-11-01,69900.0
107341,1996-11-21,47900.0
107343,2018-06-05,38000.0
107344,2006-01-12,130000.0
107345,2008-06-05,213000.0
107348,2013-08-29,61800.0
107349,2008-12-23,200000.0
107350,2014-08-04,62000.0
107351,2011-01-25,55000.0
107359,2015-02-19,185000.0
107362,2005-05-26,230000.0
107364,1992-04-23,71000.0
107366,2004-01-23,151200.0
107372,1994-08-22,99000.0
107377,2008-12-05,191000.0
107378,2010-01-20,93500.0
107381,2005-07-12,70000.0
107382,2005-01-26,53500.0
107383,2005-12-06,135000.0
107386,2010-11-10,35000.0
107387,2015-10-06,33255.0
107388,2009-11-17,34500.0
107389,2014-03-04,58000.0
107390,2015-09-22,34500.0
107391,2010-08-20,25000.0
107392,2015-02-23,68900.0
107394,2005-09-28,75000.0
107395,2005-02-22,73000.0
107396,2010-03-17,15000.0
107399,2007-12-19,167100.0
107400,2006-04-07,150000.0
107401,2007-05-30,110000.0
107402,2016-09-26,43000.0
107403,2016-09-23,55000.0
107405,2008-09-08,164900.0
107406,2018-04-09,800000.0
107407,2010-05-05,139900.0
107408,2008-08-28,179900.0
107409,2008-04-08,170000.0
107410,2018-04-09,800000.0
107411,2010-08-30,137000.0
107412,2008-10-10,149000.0
107413,2008-09-08,169400.0
107414,2018-04-09,800000.0
107415,2010-01-22,139900.0
107416,2008-10-20,189900.0
107417,2013-07-16,715068.0
107418,2013-07-16,715068.0
107419,2013-07-16,715068.0
107420,2013-07-16,715068.0
107421,2013-07-16,715068.0
107422,2013-07-16,715068.0
107423,2013-07-16,715068.0
107424,2013-07-16,715068.0
107425,2013-07-16,715068.0
107426,2013-07-16,715068.0
107427,2013-07-16,715068.0
107428,2013-07-15,715068.0
107429,2006-01-10,126000.0
107430,2009-04-29,15000.0
107431,2015-11-06,27000.0
107432,2012-08-03,19000.0
