,BATHRM,HF_BATHRM,HEAT,AC,ROOMS,BEDRM,AYB,YR_RMDL,EYB,PRICE,QUALIFIED,SALE_NUM,FIREPLACES,USECODE,LANDAREA,LIVING_GBA,WARD,SalevYB,SalevYI
35386,2,0,2,1,4,2,1909.0,2015.0,1919,755000.0,0,2,0,16,556,1038.0,0,106.0,96
35387,3,0,2,1,5,3,1909.0,2015.0,1919,1175000.0,1,2,0,16,742,1638.0,0,106.0,96
35388,2,0,2,1,4,2,1909.0,2015.0,1919,550000.0,0,2,0,16,583,947.0,0,106.0,96
35389,3,0,2,1,5,3,1909.0,2015.0,1919,615000.0,0,1,0,16,632,1087.0,0,106.0,96
35390,2,0,2,1,4,2,1909.0,2015.0,1919,774000.0,0,1,0,16,583,987.0,0,106.0,96
35391,2,0,2,1,4,2,1909.0,2015.0,1919,605000.0,0,1,0,16,583,926.0,0,106.0,96
35392,1,0,2,1,3,1,1909.0,2015.0,1919,500000.0,0,1,0,16,389,665.0,0,106.0,96
35393,2,0,2,1,4,2,1909.0,2015.0,1919,665000.0,0,1,0,16,583,865.0,0,106.0,96
35394,3,0,2,1,5,3,1909.0,2015.0,1919,1113000.0,1,2,0,16,778,1335.0,0,106.0,96
35395,1,0,1,0,4,1,1923.0,1979.0,1923,102000.0,0,1,0,17,369,732.0,0,74.0,74
35396,2,0,1,1,5,2,1910.0,1974.0,1910,800000.0,0,1,0,17,470,1537.0,1,101.0,101
35397,1,0,1,1,4,2,1910.0,1974.0,1910,287000.0,0,1,0,17,308,980.0,1,91.0,91
35398,2,1,1,1,6,2,1910.0,1974.0,1910,1375000.0,0,4,0,17,573,1958.0,1,107.0,107
35399,1,0,1,1,5,2,1910.0,1974.0,1910,310000.0,0,1,0,17,407,1310.0,1,89.0,89
35400,3,0,1,1,6,2,1910.0,1974.0,1910,1250000.0,0,1,0,17,581,1905.0,1,94.0,94
35401,2,0,1,1,5,2,1910.0,1974.0,1910,750000.0,0,3,0,17,470,1537.0,1,107.0,107
35402,1,0,1,1,4,2,1910.0,1974.0,1910,542500.0,0,6,1,17,308,980.0,1,106.0,106
35403,2,0,1,1,5,2,1910.0,1974.0,1910,1175000.0,0,1,0,17,441,1505.0,1,97.0,97
35404,2,0,1,1,6,2,1910.0,1974.0,1910,1100000.0,0,1,0,17,573,2016.0,1,96.0,96
35405,1,0,1,1,5,2,1910.0,1974.0,1910,890000.0,0,6,0,17,407,1310.0,1,106.0,106
35406,2,0,4,1,4,2,1900.0,1900.0,1900,619000.0,0,1,1,16,378,890.0,0,112.0,112
35407,2,0,4,1,4,2,1900.0,1900.0,1900,605000.0,0,3,0,16,445,915.0,0,114.0,114
35408,1,0,4,1,4,2,1900.0,1900.0,1900,521000.0,0,4,0,16,434,907.0,0,114.0,114
35409,1,0,4,1,4,2,1900.0,1900.0,1900,635000.0,0,1,1,16,520,936.0,0,105.0,105
35410,2,0,2,1,3,1,1900.0,1919.0,1919,449000.0,0,1,0,16,488,770.0,0,105.0,86
35411,2,0,2,1,4,2,1899.0,2013.0,1919,495000.0,0,2,0,17,507,617.0,0,117.0,97
35412,1,1,4,1,5,2,1922.0,1981.0,1922,515000.0,0,1,1,16,618,992.0,0,89.0,89
35413,2,1,4,1,5,2,1922.0,1981.0,1922,526300.0,0,1,1,16,635,1012.0,0,82.0,82
35414,1,1,4,1,5,2,1922.0,1981.0,1922,545000.0,0,4,1,16,628,990.0,0,92.0,92
35415,2,1,4,1,5,2,1922.0,1981.0,1922,690000.0,0,3,1,16,717,1160.0,0,94.0,94
35416,2,0,4,1,5,2,1915.0,1981.0,1915,399000.0,0,1,1,17,729,1234.0,0,89.0,89
35417,1,0,4,1,3,1,1915.0,1981.0,1915,125000.0,0,1,1,17,486,830.0,0,84.0,84
35418,2,0,4,1,5,1,1915.0,1981.0,1915,470000.0,0,1,1,17,657,1115.0,0,94.0,94
35419,1,0,4,1,3,1,1915.0,1981.0,1915,135000.0,0,1,1,17,504,865.0,0,79.0,79
35420,1,0,4,1,3,1,1915.0,1981.0,1915,515000.0,0,5,1,17,486,831.0,0,102.0,102
35421,2,0,4,1,5,2,1915.0,1981.0,1915,193000.0,0,1,1,17,666,1134.0,0,78.0,78
35422,2,0,4,1,6,2,1915.0,1981.0,1915,655000.0,0,1,1,17,846,1532.0,0,92.0,92
35423,2,0,4,1,6,2,1915.0,1981.0,1915,570000.0,0,1,1,17,819,1475.0,0,93.0,93
35424,2,0,4,1,5,2,1915.0,1981.0,1915,395000.0,0,1,1,17,675,1150.0,0,87.0,87
35425,1,0,1,0,3,1,1890.0,1985.0,1890,385000.0,0,1,0,16,630,932.0,0,123.0,123
35426,2,0,4,1,4,2,1909.0,1984.0,1909,609600.0,0,2,0,16,531,893.0,0,108.0,108
35427,2,0,4,1,4,2,1909.0,1984.0,1909,527000.0,0,4,0,16,531,885.0,0,105.0,105
35428,2,0,4,1,4,2,1909.0,1984.0,1909,139500.0,0,1,0,16,531,812.0,0,84.0,84
35429,2,0,4,1,4,2,1909.0,1984.0,1909,625000.0,1,5,0,16,531,977.0,0,107.0,107
35430,2,0,2,1,4,2,1909.0,1909.0,1909,483101.0,0,5,1,16,342,763.0,0,108.0,108
35431,1,0,2,1,4,2,1909.0,1909.0,1909,399000.0,0,1,1,16,315,764.0,0,95.0,95
35432,1,0,2,1,3,1,1909.0,1909.0,1909,260000.0,0,1,0,16,216,628.0,0,94.0,94
35433,1,0,2,1,3,1,1909.0,1909.0,1909,315000.0,0,4,1,16,216,502.0,0,106.0,106
